# y	x
[1 8 7 0 9]	[9 8 9 7 5 5 7 1 1 4]
[1 0 0 5 0]	[2 7 5 4 6 8 6 4 0 4]
[1 5 0 8 8]	[9 6 0 0 6 2 2 5 1 4]
[0 1 5 5 5]	[0 0 8 7 1 3 6 9 0 4]
[0 6 5 6 9]	[1 5 0 5 3 3 3 6 0 4]
[1 0 3 4 9]	[0 9 7 6 1 3 8 0 1 4]
[1 9 2 6 3]	[9 9 3 9 2 4 1 1 1 4]
[0 9 7 4 3]	[2 7 1 6 3 1 2 0 1 4]
[0 7 9 1 6]	[6 1 5 3 3 7 9 6 1 4]
[1 4 9 6 5]	[9 5 9 0 0 6 3 2 0 4]
[0 5 7 0 7]	[5 0 6 0 7 2 9 8 0 4]
[0 9 7 7 8]	[9 0 6 1 1 6 0 7 1 4]
[0 9 6 8 1]	[6 3 5 0 8 9 8 3 0 4]
[0 8 1 7 7]	[3 4 5 6 7 0 4 2 1 4]
[0 7 7 0 7]	[2 5 1 5 4 6 5 1 1 4]
[1 2 9 4 8]	[4 8 5 4 0 4 4 4 0 4]
